formatted_index,formatted_id,cleaned_text,Annotation,oh_label,users,hashtags,links
5530-8028-0278-2499-84,5530-8028-0278-2499-84,Islam is full of incitements to murder unbelievers.  What are you talking about?,racism,1,@kewldevzzo,,
5552-1026-2546-8739-84,5552-1026-2546-8739-84,"So you want to be tolerant of ""Islam"" and intolerant of ""religions""?",racism,1,@IAmThe1Teacher @stevecorrales80 @IronmanL1,,
5743-7117-9198-1859-84,5743-7117-9198-1859-84,"RT : Ottoman Enderun Schools were converting centers for non-Muslim kidnapped children, now  folowing them with Yazidis http:…",racism,1,@curdistani,#IS,
5551-9414-1819-5399-68,5551-9414-1819-5399-68,"Okay, and what are you going to make the other 100 Islamic terrorists groups equivalent to?",racism,1,@Hatewatch,,
5670-7944-7719-7109-76,5670-7944-7719-7109-76,"You are defending the prophet Mohammed and he was a murderer, sexist, imperialist and bigot.",racism,1,@truaemusic,,
5678-4390-7922-3539-84,5678-4390-7922-3539-84,Pigs like you never whine so loud at the hundreds of murders by Muslims every day around the world.,racism,1,@jncatron @dailydot,,
5761-1119-3816-8869-76,5761-1119-3816-8869-76,"RT :  England and Wales child rape cases up 37% in five years
We all know why",racism,1,@TRobinsonNewEra,,http://t.co/AgX6DiZUIH
5558-1375-2356-8640-00,5558-1375-2356-8640-00,"I know the truth. It is 280 million citizens of the earth murdered by scum shouting ""Allahu Akbar"".",racism,1,@NNdabbour64,,
5572-7223-3639-3089-92,5572-7223-3639-3089-92,And there is no Jihad and world domination in Judaism as there is in Islam.,racism,1,@Lithobolos @PoliticalAnt @ZaibatsuNews,,
5767-6051-9777-8940-16,5767-6051-9777-8940-16,Palestinians train the children to hate Israelis and then us their confrontations for propaganda,racism,1,@kareemMajjour @Bennettruth @MaxBlumenthal,,
5634-5492-1899-3809-92,5634-5492-1899-3809-92,The story about her age came from both Aisha and Ursa. It can be found in both Bukhari and Muslim.,racism,1,@obsurfer84,,
5766-0569-2418-6090-24,5766-0569-2418-6090-24,Mohammed declared a Jihad against all non believers. ISIS is executing a Jihad against non believers.,racism,1,@MaxBlumenthal @mehdirhasan @tnr,,
5587-0324-2667-1059-84,5587-0324-2667-1059-84,The reason that is newsworthy is because the Muslim contribution is so much more often destructive.,racism,1,@joedalton2015 @scamp_faridxx,,
5765-2035-3842-7939-84,5765-2035-3842-7939-84,The problem with the Middle East is that there seem to be no good guys to support. They are all Islamolunatics.,racism,1,@AnasMechch @peymaneh123,,
5739-4586-4189-6689-92,5739-4586-4189-6689-92,I know that the Palestinians are a group of murdering terrorists that provide no human rights to their population.,racism,1,@congressman_aly,,
5528-6441-7050-6810-24,5528-6441-7050-6810-24,"Children in Pakistan, journalists in Paris, shoppers in Australia, Ezidis in Iraq.  It all comes from the death cult of .",racism,1,,#Islam,
5541-3831-7336-2320-00,5541-3831-7336-2320-00,"But it is a lie.  The religion is a disgusting, terrorist, hate mongering piece of filth.  That has nothing to do with individuals.",racism,1,@hibach8,,
5685-8340-0472-2069-76,5685-8340-0472-2069-76,We are wasting our time with Kelly. She is willing to stab 800 million women in the back just to be PC.,racism,1,@KellyTurner99 @buellerishere,,
5766-3008-3592-4089-60,5766-3008-3592-4089-60,"Today the Hamas terrorists still call ""Khybar Khybar"" to the Jews when fighting them.",racism,1,@dankmtl,,
5534-0530-2461-0469-76,5534-0530-2461-0469-76,Looks to me like Baghdadi is a carbon copy of Mohammed without the prophecies.,racism,1,@IftikharAwan,#Islam,
5548-5333-0548-0519-68,5548-5333-0548-0519-68,RT : Please draw mohammed! Just a smiley face will do but draw it and post it.,racism,1,@noisykafir,#IAmCharlieHebdo,http://t.co/QIOVZyNxdJ
5684-2644-9037-7089-92,5684-2644-9037-7089-92,That's when a 53 year old man marries a 6 year old girl and screws her when she is 9 like Mohammed.,racism,1,@DianH4 @ajwatamr @ExposeFalsehood,,
5765-0705-1204-9520-64,5765-0705-1204-9520-64,RT : Hamas sympathizer  pretends Israel rejected truce to end blockade when Hamas admitted Hamas rejected it http…,racism,1,@NuritBaytch @MaxBlumenthal,,
5602-9546-2087-8480-00,5602-9546-2087-8480-00,In Islam all the facts are also foul.,racism,1,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53,,http://t.co/Dk8XQffRYF
5713-5749-7417-5559-68,5713-5749-7417-5559-68,Islam doesn't answer anything.  It pretends to answer with illogical and delusional superstition.,racism,1,@DianH4,,
5750-6294-0069-4460-16,5750-6294-0069-4460-16,In the Quran Islam declared war on all mankind 1400 years ago. It is time for humanity to return the favor.,racism,1,@Kaya786 @fai3an_H,,
5766-9362-0515-8200-32,5766-9362-0515-8200-32,"Yes, ISIS defames Islam by following it to the letter.",racism,1,@DrHaque @MaxBlumenthal @NYCJulieNYC @mehdirhasan @tnr,,http://t.co/DoNlOQYGYJ
5603-1877-1970-0769-92,5603-1877-1970-0769-92,But at least half of Muslims are extremists. Again.,racism,1,@cdnKhadija @johnnygjokaj @BilalIGhumman @98Halima @rfrankh53,,http://t.co/Zkt4vi0Wq3
5766-1722-9061-4759-68,5766-1722-9061-4759-68,"One thing about Muslims, they want to exterminate everyone who is not a Muslim. They are doing it around the world.",racism,1,@dankmtl @PeaceNotHate_,,
5704-3896-5032-9109-76,5704-3896-5032-9109-76,"The prophet Mohammed didn't bother to help the poor to convert them, but rather converted at the point of the sword.",racism,1,@wahab19493312,,
5609-3443-2308-4940-16,5609-3443-2308-4940-16,"Islam declared war on all mankind 1400 years ago, now Muslims cry like babies when others respond in kind.",racism,1,@JihadiA8 @Lisa_Marie74,,
5754-5637-3544-1200-00,5754-5637-3544-1200-00,"RT : If you're surprised to learn Israel-haters  and  are promoting a vicious anti-Semite, you aren't pa…",racism,1,@AviMayer @AliAbunimah @MaxBlumenthal,,
5660-8362-7096-6289-92,5660-8362-7096-6289-92,Islam is the murder of 280 million citizens of the earth by scum shouting Allahu Akbar.,racism,1,@Love___Egypt @washingtonpost,,http://t.co/Bd4iFaNXtq
5648-7486-8018-0160-00,5648-7486-8018-0160-00,For every Jew like that there are thousands of Muslims like that.,racism,1,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5611-6804-9165-0700-16,5611-6804-9165-0700-16,Polls show that the majority of Muslims are very primitive in their believes.,racism,1,@AmandaSheils1 @Colonel_Shami,,http://t.co/Vp7v6zZsuO
5767-5619-2749-3510-40,5767-5619-2749-3510-40,...tries to make a case that the Israelis protecting themselves against Muslim bigotry are the ones to blame.,racism,1,@MaxBlumenthal @Ajzionts,,
5529-2661-9426-2380-16,5529-2661-9426-2380-16,RT : Via : 12 Dead In Shooting At Satirical Publication's Office In Paris  They have proven Pr…,racism,1,@TINAHILLSTROM1 @nprnews,,http://t.co/n5HZpux8R5
5648-5474-8801-5480-32,5648-5474-8801-5480-32,"Wrong. Mohammed was a liar, rapist, murderer, slave trader, caravan robber, sexist,biggot",racism,1,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5653-8653-0760-7200-00,5653-8653-0760-7200-00,"RT : 
 West front
 forces liberated the village of "" Qartl ""
17 km from Tell-abyad City",racism,1,@ColdKurd,#Kobane #YPG,
5563-5179-2213-3980-16,5563-5179-2213-3980-16,"The Jews are the population that has been ethnically cleansed by the Muslims, microbrain. Find me some Jews in Saudi.",racism,1,@yuskan0723,,
5530-1584-4842-6560-00,5530-1584-4842-6560-00,Political satire always pisses off someone.  Why should the religion of hatred and murder be excluded.,racism,1,@AnonHeel,,
5659-9174-7902-1360-00,5659-9174-7902-1360-00,"Islam is a pile of hatred, murder, bigotry, sexism.  Islam is filth that has divided and destroyed mankind.",racism,1,@Love___Egypt @washingtonpost,,
5635-1687-1308-0869-76,5635-1687-1308-0869-76,"Yes, you can lie about Islam all you want and you can deny all the evidence all you want.  No one cares about opinion.",racism,1,@obsurfer84 @teenage,,
5670-8231-7248-6190-08,5670-8231-7248-6190-08,"Islam is not a race, microbrain, it is a religion.  You can always tell a leftist, because when he runs out of arguments he...",racism,1,@truaemusic,,
5681-0516-1492-5329-92,5681-0516-1492-5329-92,"Why do ISIS, the Saudis and the Taliban imprison women in their homes? Because the Quran tells them to.",racism,1,,#Islam #Iraq,http://t.co/dm64qJbkMj
5748-0068-7810-2819-84,5748-0068-7810-2819-84,Being able to practice their religion doesn't mean that they were not treated as third class citizens.,racism,1,@asem_1994,,
5522-5764-4853-8620-16,5522-5764-4853-8620-16,"And Muslims are expected to fear god as well.  If living in fear is your idea of perfect, you are stupid.",racism,1,@ummayman90,,
5729-6742-5081-1470-08,5729-6742-5081-1470-08,Buddha forbid slavery 1100 years before Mohammed. Jesus had no slaves 600 years before Mohammed. But Mohammed was forced to have?,racism,1,@DianH4,,
5561-7020-3537-4780-16,5561-7020-3537-4780-16,Because the Muslims are mostly just as crazy.,racism,1,@waddup247,,http://t.co/wOc5ONv7Nh
5644-8480-9813-0289-92,5644-8480-9813-0289-92,"A word of advice, until you can show that wikiislam is false, don't bother me with your advice.",racism,1,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5670-7911-7829-3130-24,5670-7911-7829-3130-24,"Yeah, and don't you waste your time hating homophones, sexists and racists. Are you going to do that?",racism,1,@truaemusic,,
5766-1253-4033-0759-68,5766-1253-4033-0759-68,Mohammed stated clearly in the Hadith that he wanted Muslims to breed like rats so he could take over the world.,racism,1,@dankmtl @PeaceNotHate_,,
5659-1373-4699-1559-68,5659-1373-4699-1559-68,Are those the Ezidi children murdered by Muslims?,racism,1,@YRohaibani @ajwatamr,,
5754-2535-6162-7320-32,5754-2535-6162-7320-32,But why propagandize your bigotry when Pakistani Muslims are murdering Christians and Hindus for blasphemy?,racism,1,@PTISalarKhan @georgegalloway,,
5649-1046-4983-7859-84,5649-1046-4983-7859-84,"RT :    There angry over cartoons but not beheadings, people being burnt alive, or …",racism,1,@Ratillathehun @1959greenarrow @ProudPatriot101 @george3612,,
5546-7298-7572-8099-84,5546-7298-7572-8099-84,Then jail any Imam that teaches any aspect of Jihad or sexism. Etc.,racism,1,@CamilleHughes16 @edbarber101658 @_Watch_Observe_,,
5747-0909-2654-0600-32,5747-0909-2654-0600-32,This Jihadi is following in the footsteps of his prophet and marrying young.,racism,1,@Bruciebabe,#Islam #Iran #Iraq #Hamas,http://t.co/jLaVovNMqR
5644-7388-4527-6979-84,5644-7388-4527-6979-84,"Mohammed never looked for knowledge. He believed in Jinn, was illiterate, believed dogs ere devil.",racism,1,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5719-1428-6844-4000-00,5719-1428-6844-4000-00,Perish slowly my ass. Slavery lasted longer in the Muslim world that anywhere else. And your hero is trying to bring it back.,racism,1,@DianH4,,
5652-8321-6635-2199-68,5652-8321-6635-2199-68,"Yes, that is why Mohammed called blacks ""rasin heads"".",racism,1,@Shami_IS_back,,
5626-6276-4913-9059-84,5626-6276-4913-9059-84,You sound like an Islamolunatic.,racism,1,@UmarMal,,
5634-6189-8218-1360-00,5634-6189-8218-1360-00,Defensive sword? ROFLMAO. The Muslims defended themselves all the way to France and India.,racism,1,@obsurfer84,,
5554-5227-2184-7989-76,5554-5227-2184-7989-76,I agree.  He is just like the prophet Mohammed.,racism,1,@Pyrrha108,,
5739-4700-4092-4689-92,5739-4700-4092-4689-92,I know that they are dedicated to the extermination of the Jews just like their prophet Mohammed was.,racism,1,@congressman_aly,,
5668-2530-4362-9829-76,5668-2530-4362-9829-76,"How long before some idiot politician tells us that this is not about Islam, but about some Islamic extremist?",racism,1,@globnewsen,#Copenhagen,
5646-4012-1555-6570-24,5646-4012-1555-6570-24,Which is why they win 95% of all Nobel prizes and create all the technology that Muslims use and were too stupid to invent.,racism,1,@lIlIlllIlIllI,,
5714-6102-1379-8990-08,5714-6102-1379-8990-08,"As a certified inmate of the Islamasylum, you don't have the ability to judge.",racism,1,@CavusSeyit @EuklidProof @Kobane_YPG,,
5740-1791-3641-7870-08,5740-1791-3641-7870-08,There is no reason at all why a hate cult cannot be banned.,racism,1,@YusufPeaceful @tummala82 @IndyVoices,,
5644-8514-2274-5150-08,5644-8514-2274-5150-08,"Their best age, by any objective measure you want to apply, is now in secular USA.",racism,1,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5642-2649-6516-9850-24,5642-2649-6516-9850-24,"And while we move on, Islam goes backwards because their canon demand it.",racism,1,@OneLegSandpiper @DblBlackDs,,
5517-8373-2466-5770-24,5517-8373-2466-5770-24,"When an Islamolunatic blows himself up in Baghdad, it has zero to do with Bush and Blair.",racism,1,@jonsnowC4 @SwatiGauri,,
5635-4332-9531-3760-00,5635-4332-9531-3760-00,But the truth is that Mohammed followers were worthless starving thugs that produced nothing and so wanted the riches of Khybar.,racism,1,@obsurfer84,,
5633-6313-1154-3790-08,5633-6313-1154-3790-08,Who cares.  Jews don't marry children.  Muslims do.  All the time.,racism,1,@rico_hands @NAInfidels @semzyxx @owais00,,
5682-7395-5888-3249-92,5682-7395-5888-3249-92,"The objective of the article is to invalidate Islam,not to validate ISIS. And Islam should be outlawed",racism,1,@UmarFarooq_ @FaheemHus @jackmjenkins,,
5526-9222-6477-0190-08,5526-9222-6477-0190-08,There's a huge lie.  They colonialized everything they have at sword point.,racism,1,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets,,
5751-1220-3956-6750-08,5751-1220-3956-6750-08,RT : . Islam = Nazism. How could it be reformed?,racism,1,@sudixitca @VSRamchandra @manonive,,
5522-4388-5196-7349-76,5522-4388-5196-7349-76,"Following the example of the pedophile prophet Mohammed in every detail, one ISIS militant is marrying a 7 year old child in Mosul.",racism,1,,#Islam,
5594-2225-5571-4149-76,5594-2225-5571-4149-76,Our poor live far better than the middle class of most Muslim countries.,racism,1,@LifeInKhilafah,,
5617-0339-1055-7159-68,5617-0339-1055-7159-68,Can't expect honesty from people who follow a caravan robber.,racism,1,@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime,,
5756-4842-6802-5690-24,5756-4842-6802-5690-24,I call that one thousands of the number of people Muslims murder every day.,racism,1,@rayyoosheh,,
5682-0885-0655-9160-32,5682-0885-0655-9160-32,"Wrong, ISIS follows the example of Mohammed and the Quran exactly.",racism,1,@g0ssipsquirrelx,,
5747-4074-4985-9520-00,5747-4074-4985-9520-00,"How can Palestine be free when it is ruled by Islamofascists that behead gays,practice honor killing,murder opposition",racism,1,@birdSTL @MurdaMookez,,
5766-0640-6146-5600-00,5766-0640-6146-5600-00,Mohammed was a pedophile who married a child. ISIS marries many children.,racism,1,@MaxBlumenthal @mehdirhasan @tnr,,http://t.co/hB4uw1F5Zd
5748-0226-6625-9619-84,5748-0226-6625-9619-84,Your religion is a murderous pile of filth.,racism,1,@nyazpolitics @urgedharry @greenlinerzjm,,http://t.co/XW63vR3NMR
5751-7954-2932-7749-76,5751-7954-2932-7749-76,Palestinians are half Egyptian and half Saudi. Palestinians are the spearhead for the Arabs against the Jews.,racism,1,@_d_n_verg_ @stevesalaita,,
5525-6818-5355-2389-76,5525-6818-5355-2389-76,We don't want to teach you. We want to stop your Taquiyya lying about it.,racism,1,@ibnHlophe @eeviewonders @CTFleaMarkets,,
5660-7892-9912-3399-68,5660-7892-9912-3399-68,Correct. Islamic permission to rape salve girls.,racism,1,@Snerpusina @Just_Nafisa @FatimaFatwa,,
5719-1544-6951-1580-16,5719-1544-6951-1580-16,Another cheap Muslim lie. Give me proof of any Muslim that was punished for not being kind to the slave girls they raped.,racism,1,@DianH4,,
5659-7755-6176-7320-32,5659-7755-6176-7320-32,Don't complain about bigotry when you practice a religion of bigotry.,racism,1,@Love___Egypt @washingtonpost,,http://t.co/VnG32SFEes
5610-1996-6002-9749-76,5610-1996-6002-9749-76,Mohammed was illiterate and superstitious and Islam's backwardness is catching up to it's Jihadis.,racism,1,@ExposeFalsehood @arabthomness,,
5762-5801-2395-8720-00,5762-5801-2395-8720-00,Odeh's actions in the US proves that she is a lying criminal and so undoubtedly lied about what happened in Isr.,racism,1,@RaniaKhalek @MaxBlumenthal,,
5642-8199-0694-7070-08,5642-8199-0694-7070-08,"Yes, only Islam can generate that level of barbarity, hatred, and inhumanity.",racism,1,@exJizyacolector @abunaseeha2,,https://t.co/frOHLueT12
5746-7933-3790-3509-76,5746-7933-3790-3509-76,"Jews need to be trained to liberate Palestine of Muslims, who are the real cancer.",racism,1,@AbbsWinston @andyblueskyz,,http://t.co/1vBOSYV587
5753-2917-1875-8769-92,5753-2917-1875-8769-92,And the Muslim Nazis left the Jews nothing but this.,racism,1,@FarooqSumar @NafeezAhmed @MaxBlumenthal,,http://t.co/MTVgnwqZVu
5747-8865-8533-7859-84,5747-8865-8533-7859-84,The Islamic world was still in the dark ages before the French showed up.,racism,1,@asem_1994,,
5622-4984-0885-6449-92,5622-4984-0885-6449-92,And periodically the Muslims went on rampages and murdered masses of Jews. This happed all over Muslim world.,racism,1,@sajid_fairooz @IsraeliRegime,,
5659-1405-4527-4270-08,5659-1405-4527-4270-08,And they would be right. The Quran and Hadith clearly declared war on all mankind 1400 years ago.,racism,1,@ajwatamr @ExposeFalsehood,,
5602-2964-0417-9850-24,5602-2964-0417-9850-24,"Soon they will have to ask their uneducated, moronic Madrassa rats to do surgery.  A butcher knife and a prayer.",racism,1,@france7776,,
5746-8118-6213-0849-92,5746-8118-6213-0849-92,Human rights record of animals living in Palestine.,racism,1,@End_Bigotry @Bruciebabe @chezkig1 @edulixavot34 @MaxBlumenthal,,http://t.co/qJcII9wcWi
5753-3204-6723-1500-16,5753-3204-6723-1500-16,Hey shouldn't you be worrying more about Pakistan Muslims murdering Christians &amp; Hindus?,racism,1,@FarooqSumar @Quickieleaks @hamidul1 @nadeemmalik,,
5517-6906-1055-8119-68,5517-6906-1055-8119-68,Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.,racism,1,@anjemchoudary,,
5551-9929-2042-7770-24,5551-9929-2042-7770-24,Why would you profile white people. Blacks murder at 6 times the rate as whites.,racism,1,@JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch,,
5673-6323-8040-3219-84,5673-6323-8040-3219-84,One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,racism,1,@ZamiraTwitt,,
5635-7879-5290-9189-76,5635-7879-5290-9189-76,"Now you are babbling like every Muslim conspiracy idiot. ""CIA created ISIS"".Utterly stupid and without evidence. You are blocked",racism,1,@obsurfer84,,
5747-6014-7156-7580-16,5747-6014-7156-7580-16,"Yeah, being anti Zionist is pretending to have an excuse for being anti Semitic.",racism,1,@ardiem1m @Alfonso_AraujoG @MaxBlumenthal @oldkhayyam,,
5748-9078-7101-5079-68,5748-9078-7101-5079-68,RT :   You're a woman and you're committed to ? You cannot be serious!,racism,1,@PeterTownsend7,#ISIS #Muslim #Islam,http://t.co/d73Nxufiy0 http://t.co/…
5528-5273-0327-2039-68,5528-5273-0327-2039-68,Bad logic.  If all Muslims did what their books of hatred and murder tell them they would all be dead.,racism,1,@J_Eddine @DiversityRUs,,
5622-5126-8190-5070-08,5622-5126-8190-5070-08,So don't feed me your little piece of taqiyya BS.,racism,1,@sajid_fairooz @IsraeliRegime,,
5747-6225-1749-4869-76,5747-6225-1749-4869-76,Filthy Taquiyya liar. The abuse of women by  couldn't be clearer.,racism,1,@SirajOfficial,#Islam,http://t.co/a9PNhs4acs
5525-3320-7426-7980-16,5525-3320-7426-7980-16,Islam attacked and conquered 2/3 of Christianity before there were any crusades.,racism,1,@HillaryGuess @riwired @izrinhariri @AtharHKhan,,
5748-0522-4495-3009-92,5748-0522-4495-3009-92,The Quran approves of the beating of women and tells them to stay home. So ISIS does it also.,racism,1,@asem_1994,,http://t.co/0JZqklPyYH
5670-8002-7234-1240-32,5670-8002-7234-1240-32,...have some PC pandered tell me to accept a cult of hate.,racism,1,@truaemusic,,
5541-3660-2906-0709-76,5541-3660-2906-0709-76,"RT : Islam is a religion of hate, violence, and deceit.",racism,1,@deegy2,,http://t.co/53PbSh0rf2
5528-5537-4492-3610-24,5528-5537-4492-3610-24,Since 1/3 of all  believes that people who leave the religion should be murdered where are the moderate Muslims,racism,1,,#Islam,http://t.co/E3OtqTbo7D
5645-0222-5041-3790-08,5645-0222-5041-3790-08,It's called reproductive imperialism and was first advocated by their pedophile prophet.,racism,1,@IndianExpress @hstapanghosh,#Islam,
5660-7589-8097-4350-08,5660-7589-8097-4350-08,"RT : . teaching me about discrimination, implies via the link that critiquing Islam is like being a homophobe http:/…",racism,1,@MaajidNawaz @ggreenwald,,
5574-0162-2251-1840-00,5574-0162-2251-1840-00,"ISIS in Mosul executed 13 people for watching soccer game.  Muslims will go crazy about a Mohammed cartoon, but won't protest murder.",racism,1,,#Islam,
5753-2166-5183-1619-84,5753-2166-5183-1619-84,"Want to see totally insane rantings, look at Bloomenthal's terrorist friends.",racism,1,@Saeed6Ali @MaxBlumenthal @DaraDeBrun,,https://t.co/8cmfoOZwxz
5648-5499-6450-0170-24,5648-5499-6450-0170-24,"Islam is the most decisive, hatefilled, backward thing that has ever happened to mankind.",racism,1,@Qoloob4 @Vandaliser @sajid_fairooz @IsraeliRegime,,
5659-1348-2982-1950-08,5659-1348-2982-1950-08,"Scum bag Islamists evacuated all the Christian and Ezidi civilians from their homes in Mosul, Raqqa, Sinjar.",racism,1,@doammuslims @ajwatamr,,
5758-6209-8128-8259-84,5758-6209-8128-8259-84,"RT : Bloodthirsty Muslims flock to ISIS' theatre that loop jihadi atrocities they enjoy watching.
 http:/…",racism,1,@RavenHUWolf,,http://t.co/c96V6MwGnz
5602-9985-3402-4769-92,5602-9985-3402-4769-92,"That is why we are going secular, microbrain. And Islam is as disgusting as ever.",racism,1,@BilalIGhumman @OdiniaInvictus @IsraeliRegime,,
5521-3276-5592-7280-00,5521-3276-5592-7280-00,Islam is a religion with zero spiritual content.  But it tells you exactly how to wipe your ass.,racism,1,@anjemchoudary,,
5756-5204-6554-0380-16,5756-5204-6554-0380-16,51 Christians or Hindus have been murdered for blasphemy by Muslim mobs in Pakistan alone. Why should Israel be subject to that?,racism,1,@rayyoosheh,,
5601-3463-1379-3089-92,5601-3463-1379-3089-92,"No he's not.  He's an idiot.  He retweets things like ""nigger hunting licenses"" that never existed. He's a fraud.",racism,1,@Jihadii8 @AkEl_Saruman,,
5541-4546-1682-9660-16,5541-4546-1682-9660-16,"No, they showed you the good face of people.  There is no good face of Islam.",racism,1,@JM_Yturralde,,
5749-6639-2178-3889-92,5749-6639-2178-3889-92,80% of Muslim civilians are killed by Taliban. Look it up.,racism,1,@haroonstyles @halalflaws @greenlinerzjm @biebervalue,,
5644-8826-4292-1230-08,5644-8826-4292-1230-08,Is that suppose to be some kind of stupid excuse for the barbarity of the Shia militia?,racism,1,@RangAbdullah,,
5700-2705-6953-5649-92,5700-2705-6953-5649-92,So what is god's problem that he needs your submission? Is he an egotistical jerk?,racism,1,@buellerishere @KellyTurner99 @brushyblues,,
5753-9173-7964-6670-08,5753-9173-7964-6670-08,"Norm only got the book wrong. It should say Quran, since Muslims have been doing that for centuries.",racism,1,@FarooqSumar @CPMacL2008 @AliasHere,,
5750-6346-9537-4110-08,5750-6346-9537-4110-08,"No, just Muslims having more babies as their prophet told them to do for the sake of population imperialism.",racism,1,@Kaya786,#Islam,
5551-5803-0837-2320-00,5551-5803-0837-2320-00,Do you think that the cretins at Salon understand Mohammed's declaration of war on humanity? No,racism,1,@Salon @TheMuslimGuy,,http://t.co/CvhAFFBFAq
5766-3828-1858-7120-64,5766-3828-1858-7120-64,"The holocaust was by Nazis. And the people who fought, killed and stopped them where Christian westerners.",racism,1,@dankmtl,,
5646-0124-4434-4570-24,5646-0124-4434-4570-24,"RT : Now let's be clear: it's NOT the ""minority"" within Islam that believes in violence against blasphemers. It's the majorit…",racism,1,@MrPolyatheist,,
5677-6316-4613-3329-92,5677-6316-4613-3329-92,"Given that Islam declared war on all humanity 1400 years ago, why should we not burn down all Mosques?",racism,1,@KeeganNYC @syedmuhammad555,,
5619-3824-2941-8819-84,5619-3824-2941-8819-84,Daesh threw a major offensive Friday to show they were still strong.  They only managed to show their weakness.,racism,1,@Dabiq_Warrior @Totenleserin,,
5635-1259-2899-9120-00,5635-1259-2899-9120-00,Let people read the Quran and see that it comes from hate.,racism,1,@obsurfer84 @teenage,,http://t.co/cuQDA0n32q
5526-9192-0737-4190-08,5526-9192-0737-4190-08,All of the land the Muslims have they colonialized.,racism,1,@ibnHlophe @sibanda_tapson @eeviewonders @CTFleaMarkets,,
5767-5665-1715-2480-00,5767-5665-1715-2480-00,Kiss my ass. I don't read books by Muslim bigots written to promote their fascist murdering genocide of humanity.,racism,1,@AAlwuhaib1977,,
5717-7556-0684-2119-68,5717-7556-0684-2119-68,By showing your love of a genocidal animal like Baghdadi you have given the reason why Islam must be exterminated.,racism,1,@DianH4,,
5664-9463-1513-1779-84,5664-9463-1513-1779-84,"Islam is a pile of manure that destroys human freedom, human life, human expression and creates endless divisiveness.",racism,1,@discerningmumin,,
5740-1225-0375-0860-16,5740-1225-0375-0860-16,"The Islam is the hate, microbrain.",racism,1,@AnAnnoyingTweep,,http://t.co/pWXCGc4ChT
5517-6854-3277-3550-08,5517-6854-3277-3550-08,Nothing desperate about it. Humanity realizes now that Islam declared war on it 1400 years ago and Islam will be destroyed.,racism,1,@anjemchoudary,,
5644-6254-7672-1130-24,5644-6254-7672-1130-24,And for the last 1000 years Muslims have contributed virtually nothing to science.,racism,1,@Vandaliser @sajid_fairooz @IsraeliRegime,,
5603-1417-7634-3249-92,5603-1417-7634-3249-92,Tell me something that ISIS does that Mohammed did not do.,racism,1,@cdnKhadija @johnnygjokaj @98Halima @BilalIGhumman @rfrankh53,,
5619-3635-4527-8179-84,5619-3635-4527-8179-84,"In other words, you were too stupid to understand that your 7th century barbarity would bring more enemies.",racism,1,@Dabiq_Warrior @Totenleserin,,
5539-8447-5139-3059-84,5539-8447-5139-3059-84,"People fill ""the void and emptiness"" with all kinds of imaginary nonsense, including Allah.",racism,1,@TheLadyInBlackk @ToAllahWeReturn,,
5534-0066-2461-9320-32,5534-0066-2461-9320-32,I don't care.  It's none of Mohammed's business what religion someone wants to be.,racism,1,@KhaledHamaki,,
5663-9753-5023-9349-76,5663-9753-5023-9349-76,"The Muslims conquered 2/3 of the Christian world before it attacked back. So again, what are you crying about.",racism,1,@discerningmumin,,
5767-7167-7276-6350-08,5767-7167-7276-6350-08,RT : Good Morning Pissed Off American Patriots! Cops In Danger?,racism,1,@DonAgainstislam @jasphil @LegendsofNWI @donttreadonme65,,http://t.co/8sEg6jv…
5755-1343-8325-2440-32,5755-1343-8325-2440-32,Free them to do what? Cut off the heads of gays? Honor killings? Child marriage? Exterminate Jews? Throw ppl off buildings?,racism,1,@recoveringlibrl,,
5751-7212-6321-1969-92,5751-7212-6321-1969-92,Nobody said that goat fucker. You made it up.,racism,1,@Isham_AlAssad @UN,,
5522-6628-4344-5539-84,5522-6628-4344-5539-84,As they see more and more of the vileness of Islam in action they will change their minds.,racism,1,@hananehs @haaretzcom,,http://t.co/nPOd1nWqZe
5685-8276-9640-4769-92,5685-8276-9640-4769-92,"""That which your right hand posses"" means slave.  The Quran gives clear permission to rape slaves.",racism,1,@buellerishere @KellyTurner99,,
5755-1569-8308-5139-84,5755-1569-8308-5139-84,"Another race baiting idiot. If it were about ""brown men"" I would hate Hinduism and Buddhism and Tao. But I only hate Islam.",racism,1,@nine11inreverse,,
5747-2444-6952-4229-76,5747-2444-6952-4229-76,Maybe they are not that anxious to have a bigot like Blumenthal encourage even more Muslims to murder more Jews in France.,racism,1,@MJayRosenberg,,
5667-0097-0671-7509-76,5667-0097-0671-7509-76,RT : Islamic States reveals It's Air Force ! Lol Daesh bags Isis Isil,racism,1,@The_Rebel_Heart,,http://t.co/JAgBL5XzeH
